600	-17.3861	-17.4728	-18.5098
601	-17.4423	-17.5956	-18.5822
602	-17.5012	-17.7164	-18.6236
603	-17.5629	-17.831	-18.6372
604	-17.6273	-17.9353	-18.627
605	-17.6947	-18.0246	-18.5958
606	-17.765	-18.0943	-18.5446
607	-17.8383	-18.1395	-18.4709
608	-17.9148	-18.1551	-18.3712
609	-17.9946	-18.1361	-18.2409
610	-18.0777	-18.0777	-18.0777
611	-17.8352	-17.9725	-17.8818
612	-17.5937	-17.8197	-17.6594
613	-17.3532	-17.625	-17.4206
614	-17.1136	-17.394	-17.1783
615	-16.8749	-17.1327	-16.9443
616	-16.6371	-16.8471	-16.7275
617	-16.4002	-16.5431	-16.5296
618	-16.1641	-16.2263	-16.3459
619	-15.9288	-15.9024	-16.1656
620	-15.6943	-15.5764	-15.9745
621	-15.4605	-15.2535	-15.7581
622	-15.2274	-14.9383	-15.5055
623	-14.995	-14.6354	-15.2127
624	-14.7633	-14.3491	-14.883
625	-14.5322	-14.0836	-14.5282
626	-14.3017	-13.8429	-14.1679
627	-14.0718	-13.6311	-13.8265
628	-13.8424	-13.4524	-13.5317
629	-13.6136	-13.3109	-13.309
630	-13.3853	-13.211	-13.1798
631	-13.1574	-13.1574	-13.1574
632	-13.329	-13.1396	-13.2442
633	-13.5035	-13.144	-13.4318
634	-13.6808	-13.1708	-13.7011
635	-13.861	-13.2205	-14.0262
636	-14.0442	-13.2935	-14.3798
637	-14.2303	-13.3903	-14.7374
638	-14.4194	-13.5112	-15.1177
639	-14.6116	-13.6563	-15.5324
640	-14.8068	-13.8258	-15.9994
641	-15.0051	-14.0194	-16.5315
642	-15.2066	-14.2366	-17.1248
643	-15.4112	-14.4767	-17.7526
644	-15.619	-14.7387	-18.3663
645	-15.8301	-15.0211	-18.9052
646	-16.0444	-15.3223	-19.3038
647	-16.2621	-15.6405	-19.4954
648	-16.4831	-15.9733	-19.4618
649	-16.7076	-16.3185	-19.2049
650	-16.9355	-16.6735	-18.7471
651	-17.1668	-17.0354	-18.1288
652	-17.4017	-17.4017	-17.4017
653	-17.8984	-17.775	-16.6214
654	-18.3946	-18.1602	-15.8383
655	-18.8905	-18.5577	-15.0999
656	-19.386	-18.9678	-14.4296
657	-19.8811	-19.3907	-13.849
658	-20.3758	-19.8265	-13.3734
659	-20.8701	-20.275	-13.0183
660	-21.364	-20.7361	-12.803
661	-21.8575	-21.2093	-12.7526
662	-22.3505	-21.6944	-12.8959
663	-22.8432	-22.1907	-13.2611
664	-23.3355	-22.6978	-13.867
665	-23.8273	-23.2153	-14.7282
666	-24.3187	-23.7429	-15.8387
667	-24.8097	-24.2803	-17.1801
